TimeStep,CellNumber,Orientation,Center_X,Center_Y
1,1,81.2237684164885,80958.6029282834,86463.680665147
1,2,73.5942508990466,85839.2548115801,92407.1092107391
1,3,-87.509558992584,86248.4376879586,72224.5980191668
1,4,79.5243269049697,89457.4841011323,101835.732381986
1,5,-89.8413824611725,92935.8003314983,86528.6642396259
2,1,85.2634054407739,81539.8426150121,90758.1907452246
2,2,76.8598364522332,86342.8116574429,98249.1742940258
2,3,-85.4127840634953,86431.309354226,75765.7539812989
2,4,73.9464613406301,90423.4812532464,106116.320182273
2,5,89.9064439625821,93334.1824001736,88520.3504774305
3,1,82.9491251254306,82688.8876559649,88924.7398530355
3,2,87.6641032036294,87551.3927641369,98741.8503534226
3,3,-84.8933229952997,87853.795972546,73668.5213513339
3,4,67.1295908398394,92612.2906943421,106284.184373209
3,5,75.8185488917372,94798.3329775121,88057.2196128665
4,1,78.1318878957448,81579.7931646978,86578.9505221709
4,2,-87.650199367948,86555.6946403385,97908.604320117
4,4,60.2321490742733,93270.6179870792,105174.378990517
4,5,69.5219100454768,94275.7630482884,89152.7712699032
4,6,-88.6143723263282,86109.2529690016,63816.5094102254
4,7,-80.6354761827494,88537.3944025279,80470.0852840653
5,2,-78.0756343323169,84740.1437773177,96855.0293305728
5,4,58.3745933335787,92984.1435894816,105765.200286123
5,5,63.3952931115909,94502.9167134464,90458.8642827738
5,6,84.2991360253797,85605.6466118081,64626.7188272854
5,7,-76.9749943350771,87499.8423744944,83881.0373542708
5,8,75.364741797463,78657.7780519908,84239.3052356404
6,4,59.2489851890415,92211.5010492882,110977.514037774
6,6,79.6931267454604,86458.1459774532,64923.3132633017
6,7,-76.5309564740463,87552.3351066646,87158.9685564555
6,8,86.049354081506,79676.625,75517.962962963
6,9,-79.7305812417156,82919.8654513889,90593.4711371528
6,10,-73.8674388408501,86509.2681230568,104183.097079038
6,11,63.2020779809607,98558.7770467836,86156.5957602339
7,6,-88.8726229207616,87368.5730994152,66813.3260233918
7,7,-71.0472502546279,87349.4535796454,89251.6319303469
7,9,-71.689536261557,82742.6352339181,92238.1460698314
7,10,-78.890050476388,88037.4793320106,108350.129794974
7,11,86.6864249093682,98720.1181409881,85584.1575538632
7,12,53.1765309672656,97393.3495589948,107713.816774838
7,13,80.6814088540391,103689.400256074,93247.2573543189
8,12,-68.6168137474213,101095.886649605,110045.676050331
8,13,-70.1056820064121,107125.319835681,96862.5919405321
8,14,78.9519464490092,99415.3511159499,87307.2188955422
9,13,88.7389146740585,98766.8634952318,91377.6301563539
9,14,88.7406449753543,93361.4346273985,83431.9444444444
9,15,-66.7219378222403,81790.2997538678,94990.3287623066
9,16,89.1158237053351,85930.6882750612,68073.5354195181
10,15,-72.881860170704,81120.2910488742,93543.6481786564
10,16,-89.9321079431929,86731.0287416754,65763.1009755813
10,17,55.8203176807988,73555.5810105638,84727.4161045352
10,18,76.322340849496,80303.3202465383,67634.0587357875
10,19,-79.9803957984203,82463.3557666931,113829.908946952
10,20,-84.8777927400508,83555.6049822064,81354.4474100435
10,21,-81.36430619455,88247.6728087399,113770.993178271
10,22,-86.9634393389512,89177.0363206533,82350.8659287915
10,23,-83.3062849146866,93301.6684922557,67577.2007955725
10,24,56.3562990166481,96815.8941320839,103425.075998438
10,25,88.4186683446713,94403.5847189232,90641.5155713909
10,26,-88.0320475400562,100039.611319379,83776.7045454545
