TimeStep,NumberOfCells
1,50
2,54
3,53
4,54
5,56
6,59
7,56
8,54
9,56
10,56
11,53
12,55
13,55
14,58
15,55
16,56
17,56
18,56
19,55
20,55
21,60
22,59
23,60
24,61
25,64
26,63
27,63
28,64
29,64
30,64
31,66
32,66
33,65
34,68
35,71
36,75
37,73
38,74
39,79
40,77
41,79
42,81
43,83
44,84
45,85
46,82
47,86
48,88
49,86
50,87
51,89
52,91
53,91
54,92
55,99
56,98
57,104
58,106
59,107
60,110
61,107
62,109
63,110
64,110
65,110
66,114
67,114
68,113
69,115
70,115
71,118
72,117
73,118
74,117
75,117
76,117
77,118
78,118
79,122
80,113
81,121
82,116
83,123
84,121
85,128
86,124
87,121
88,123
89,123
90,130
91,127
92,127
93,130
94,125
95,130
96,133
97,138
98,143
99,140
100,146
101,144
102,151
103,155
104,153
105,146
106,143
107,150
108,161
109,166
110,152
111,166
112,150
113,150
114,148
115,147
116,150
117,150
118,154
119,152
120,145
121,143
122,139
123,124
124,142
125,145
126,139
127,96
128,115
129,150
130,109
131,106
132,100
133,122
134,99
135,114
136,113
137,104
138,100
139,150
140,139
141,149
142,149
143,106
144,163
145,91
146,125
147,125
148,89
149,88
150,135
151,88
152,149
153,144
154,93
155,111
156,139
157,101
158,150
159,132
160,152
161,88
162,97
163,152
164,159
165,158
166,152
167,63
168,86
169,149
170,91
171,164
172,111
173,121
174,98
175,113
176,126
