ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
11,1,317,1290,107,67,64,37,84.13249211356467,51.54574132492114,3.1230949375849963,372,0.9905632129129159,20.090219901261573,1,0.24573643410852714,0.32019519738752245,55.84935708840141,49.64876634922564,4.0,1.9823278196132796,2.0,7.564917664760893,7.654524954771107,57.71065448045115,111.53910524340094,0.8521505376344086,84.13249211356467,51.54574132492114,0,0.0,0.0,0,0.0,0.0,0.0,0,1,6.988404554545504,0.7013557299556517,nan,17.781230081921805,3.0,7,0.39302143453228366,10.0,1,0.26186274293529266,0.6506364298162453
12,1,327,1320,107,69,63,39,83.55351681957187,53.703363914373085,3.1695903794837967,378,0.9910001292970086,20.404639941160397,1,0.24772727272727274,0.31549818123907264,57.2624107072549,51.03920062069938,4.123105625617661,1.991874736348804,2.0,7.564917664760893,7.665198514568696,57.74478222181725,114.12489168102783,0.8650793650793651,83.55351681957187,53.703363914373085,0,0.0,0.0,0,0.0,0.0,0.0,0,1,9.168165151313445,2.2339533633375988,nan,20.015183445259403,3.0,8,0.4580605107311632,11.0,1,-0.5789752939927979,2.1576225894519467
13,1,379,1666,109,70,60,36,83.17678100263852,52.36675461741425,3.347579025261988,438,0.9922527902833898,21.967197988242077,1,0.22749099639855944,0.2987233437817761,64.00184145193427,56.859475903318,4.123105625617661,2.0601325793363587,2.0,7.874272012940437,7.951285502785386,57.39208630623724,126.2670273047588,0.865296803652968,83.17678100263852,52.36675461741425,0,0.0,0.0,0,0.0,0.0,0.0,0,1,8.184996259388654,1.3886879737641658,nan,21.40387141902357,3.0,9,0.3824072804004,12.0,1,-0.3767358169333477,-1.3366092969588337
14,1,385,1800,109,74,59,38,82.78181818181818,55.4051948051948,3.489051503123686,445,0.9929791463755873,22.140398025397776,1,0.21388888888888888,0.28661084512645274,65.99179625145867,58.52349955359813,4.123105625617661,2.0253236916139037,2.0,7.602810689174539,7.806139107936433,57.0088798879741,129.92388155425118,0.8651685393258427,82.78181818181818,55.4051948051948,0,0.0,0.0,0,0.0,0.0,0.0,0,1,11.036148831135852,3.064003003352032,nan,24.4678744223756,3.0,10,0.45104648816749754,13.0,1,-0.3949628208203393,3.0384401877805516
15,1,374,1976,110,77,58,39,82.6470588235294,57.26737967914438,3.945110979457948,457,0.9947011192479376,21.821814538001895,1,0.18927125506072875,0.2534782938191002,70.83519699039357,62.20128616033595,3.605551275463989,1.9104248957621968,2.0,7.434906421771663,7.282493316584654,56.45411785013736,136.16652224137047,0.8183807439824945,82.6470588235294,57.26737967914438,0,0.0,0.0,0,0.0,0.0,0.0,0,1,12.790389254360615,1.8670545223460984,nan,26.3349289447217,3.0,11,0.4856815555192219,14.0,1,-0.1347593582887754,1.8621848739495803
16,1,231,744,87,64,56,40,69.91341991341992,51.36796536796537,2.2592446464039835,264,0.9790462431544035,17.14987856615383,1,0.31048387096774194,0.44262581371684995,38.93337718289276,34.828149534535996,3.605551275463989,2.014438510590448,2.0,7.738696526876557,7.928316852419584,53.980341169077356,80.9827560572969,0.875,69.91341991341992,51.36796536796537,0,0.0,32.68237762859867,2,1.0,11.538461538461538,0.0,0,1,18.624222526877077,14.033839428609628,nan,40.36876837333133,3.0,12,0.46135226010959324,15.0,1,-12.733638910109491,-5.899414311179015
16,2,185,567,111,81,84,60,97.16756756756757,69.4054054054054,2.1988713101408295,210,0.9785634183415772,15.347615963921077,1,0.3262786596119929,0.45477877463231525,34.73060845844654,31.400636936215164,3.605551275463989,1.8555853834832392,2.0,6.819644211380189,7.152619886532259,53.85168935436809,71.49747468305833,0.8809523809523809,97.16756756756757,69.4054054054054,0,0.0,32.68237762859867,1,1.0,13.043478260869565,0.0,0,2,25.789261094573728,18.925560565464455,nan,45.260489510186154,3.0,12,0.5697963361348466,15.0,1,14.520508744038167,12.13802572626102
17,1,443,2773,114,82,55,35,82.3273137697517,57.67042889390519,4.5295416219004485,575,0.9956845070402308,23.74963406702674,1,0.15975477821853587,0.22077289127115526,83.02103394821928,72.80109889280519,3.605551275463989,1.9231112810989528,2.0,8.399708350216772,7.704585640349188,54.95877026093108,158.79393923933998,0.7704347826086957,82.3273137697517,57.67042889390519,0,0.0,0.0,0,0.0,0.0,0.0,0,1,13.286279731746017,13.922133714774965,nan,54.29090208810629,3.0,13,0.24472387123323727,16.0,1,12.413893856331782,6.302463525939821
18,1,272,1020,87,63,53,33,67.93382352941177,48.58455882352941,2.5919714334276716,326,0.9845307386822664,18.609705966725112,1,0.26666666666666666,0.3858067211325633,46.568781138406884,41.23105625617661,3.605551275463989,2.0123864628899044,2.0,8.211002061562345,8.159406575891571,51.5296755576871,94.12489168102785,0.8343558282208589,67.93382352941177,48.58455882352941,0,0.0,38.26283364732246,2,1.0,9.75609756097561,0.0,0,1,19.889842445844707,17.021327687184424,nan,71.31222977529072,3.0,14,0.2789120815394336,17.0,1,-14.39349024033993,-9.085870070375776
18,2,216,775,115,84,84,59,99.48148148148148,70.23611111111111,2.4908543888835744,255,0.9828213672788284,16.583719174624104,1,0.2787096774193548,0.4014686705344546,39.88804188841048,35.608987629529715,3.605551275463989,1.886860579209559,2.0,7.2786247587286965,7.361711769654331,52.41296117346604,82.2253967444162,0.8470588235294118,99.48148148148148,70.23611111111111,0,0.0,38.26283364732246,1,1.0,12.264150943396226,0.0,0,2,27.482449733738807,21.26409742890485,nan,75.55499951701114,3.0,14,0.3637409821907438,17.0,1,17.154167711729784,12.565682217205925
19,1,578,3876,116,95,48,38,80.09515570934256,66.32179930795847,4.80597402533551,808,0.9958164552165573,27.128075067297424,1,0.14912280701754385,0.20807436634661985,97.81642448537123,86.05230967266364,4.242640687119285,2.0793881802495413,2.23606797749979,10.20736803328928,8.938081174188302,53.81572710387097,186.83556979968262,0.7153465346534653,80.09515570934256,66.32179930795847,0,0.0,0.0,0,0.0,0.0,0.0,0,1,22.157871463465025,21.505992197364193,nan,92.81822197265491,3.0,15,0.2387232915320543,18.0,1,12.161332179930795,17.73724048442906
20,1,328,1292,84,74,46,40,62.576219512195124,57.326219512195124,2.7878738876883924,421,0.985211278788425,20.435815879801165,1,0.25386996904024767,0.35869628264611536,53.0237254500814,46.69047011971501,4.242640687119285,2.100287300908845,2.23606797749979,9.53548340604619,9.085292542574388,49.643381388464306,107.19595949289334,0.7790973871733967,62.576219512195124,57.326219512195124,0,0.0,43.899505754701735,2,1.0,8.695652173913043,0.0,0,1,27.67209054191355,19.693490836864566,nan,112.51171280951948,3.0,16,0.24594853149877788,19.0,1,-17.51893619714744,-8.995579795763348
20,2,261,1015,116,99,81,70,98.40996168582376,82.68582375478927,2.7349382229399852,323,0.9868242187620873,18.229523339239496,1,0.2571428571428571,0.3656389718832577,47.590974752723646,42.01190307520001,3.605551275463989,1.9225363102286774,2.0,7.724435249907983,7.700031652544848,51.391670718711296,94.71067811865476,0.8080495356037152,98.40996168582376,82.68582375478927,0,0.0,43.899505754701735,1,1.0,9.67741935483871,0.0,0,2,38.76456597807656,24.560403377237666,nan,117.37862534989257,3.0,16,0.33025234247311824,19.0,1,18.314805976481196,16.364024446830797
