StepNumber,NumberOfCells
1,8
2,9
3,10
4,10
5,11
6,14
7,16
8,18
9,18
10,19
11,20
12,21
13,21
14,20
15,22
16,22
17,23
18,27
19,30
20,34
21,38
22,41
23,43
24,43
25,43
26,44
27,45
28,45
29,46
30,50
31,66
32,77
33,81
34,84
35,85
36,88
37,88
38,91
39,91
40,96
41,98
42,110
43,124
44,137
45,155
46,166
47,172
48,179
49,181
50,182
51,180
52,183
53,196
54,205
55,225
56,237
57,250
58,267
59,292
60,298
61,301
62,303
63,298
64,309
65,328
66,348
67,357
68,365
69,385
70,403
71,420
72,442
73,457
74,474
75,486
76,502
77,532
78,547
79,564
80,580
81,583
82,585
83,602
84,614
85,622
86,629
87,645
88,658
89,663
90,669
91,692
92,688
93,677
94,674
95,672
96,671
97,667
98,658
99,673
100,677
101,695
102,677
103,0
104,747
105,727
106,715
107,719
108,711
109,711
110,692
111,658
112,0
113,687
114,693
115,699
116,711
117,700
118,0
119,0
120,751
121,721
122,0
123,0
124,696
125,670
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,728
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,764
154,0
155,766
156,766
