TimeStep,CellLifeId,lable,Orientation,Center_X,Center_Y,Major_axis,Minor_axis
1,1,1,-79.5983114921398,3.10670791503917,169.327668793714,20,4.43074167877884
1,2,2,77.147705012967,6.03757989528536,146.33365766487,24,5.4410414639586
1,3,3,20.4276637928813,244.5,101,24,15.0924793973132
1,4,4,-81.699621319371,252.144362740995,52.5104751650351,10,7.45949389393216
1,5,5,-65.0130771628272,358.593595778369,337.077588604545,26,6.03831214593994
1,6,6,-59.7565988145863,361.251837242435,304.068053240176,26,5.68496145082456
1,7,7,76.2250825955318,365.014380694717,275.619054148758,27,5.98940128636374
1,8,8,-74.2707307998531,369.81302175937,309.233900410316,23,5.34287000652105
2,1,1,-77.1760369112399,4.88195631962394,169.55494339027,23,4.64563748566481
2,2,2,81.5208353276907,7.67639567780256,144.251174625934,25,5.29000487629892
2,3,3,13.7229920894346,245.66,99.53,23,15.3714803813453
2,4,4,-53.1301023541558,252.76,51.73,10,6.90799972963334
2,5,5,-51.832784647918,361.38485331788,334.934810068783,28,6.08249213977447
2,6,6,-58.4999016210739,362.182500028729,303.177360732796,28,5.68820225520864
2,7,7,74.4931977345723,366.16,273.53,28,6.27639266967398
2,8,8,-71.2031573723433,370.036654327513,309.254426529906,24,5.68964729432617
2,9,9,-82.9189510636671,2.28708686488534,127.975990610261,13,2.79216735508097
3,1,1,-86.665458850303,4.8390124074378,169.362610130863,24,5.81936212099866
3,2,2,84.4152989214625,7.78711986887182,144.035975731143,28,5.32130996232289
3,3,3,12.6202610871325,245.28,99.39,22,15.7210415819444
3,4,4,-52.3223087593537,252.891218922014,51.5985384220491,10,7.76809382704938
3,5,5,-49.3599234154051,360.605652572138,336.010592037169,29,5.77407461292174
3,6,6,-54.7938691060449,360.568259875438,304.481458393536,29,5.51441016561206
3,8,8,-68.0052958114474,369.196218289725,308.748214072763,25,5.64042289196276
3,9,9,-76.1249440276207,2.42908173236526,127.164784099867,18,3.60987110535331
3,10,7,83.9387419069818,363.785590430199,265.995591701794,15,5.35206422545372
3,11,7,68.3069458280976,367.893994447244,280.98495457603,15,6.2271856914867
4,1,1,85.6381475660326,7.14144819459583,171.048027586411,26,5.79002629363033
4,2,2,84.6715132204245,8.14864270087937,142.695731276954,28,5.36496058039381
4,3,3,15.0930812124819,245.64,99.01,22,16.3083512235404
4,4,4,-47.9039006208427,253.310376104672,50.7679785189869,10,7.54518632085071
4,5,5,-49.922316625745,360.783825645097,335.244827771861,32,6.20395115388018
4,6,6,-52.879487012438,360.239114667398,304.714809540574,31,5.9309627973961
4,8,8,-63.9095798591412,368.81578026899,308.593375784695,27,5.39525833497822
4,9,9,-72.7501290037317,3.83324910022473,124.735950269226,20,4.36251450528714
4,10,7,83.8072808528574,363.145835320052,264.117873023245,17,5.62296946286894
4,11,7,67.3104682242509,368.255477322804,280.085566806926,16,6.42728995477631
5,1,1,87.314382628806,9.15767047981503,171.097404869493,27,5.55242901584243
5,2,2,84.5652378249529,10.6867429732463,142.192068476626,30,5.46649818172449
5,3,3,19.3170868168915,247.651851171606,97.7153979197384,24,15.6594721982189
5,4,4,86.1605180963157,254.182244437234,50.1169614588405,11,7.59795849339122
5,5,5,-52.2847782781904,362.687267742882,335.064807569978,35,6.08755863368489
5,6,6,-50.8605855133085,360.383410941952,303.977798568286,33,5.93364055067988
