StepNumber,NumberOfCells
1,62
2,58
3,55
4,64
5,64
6,68
7,66
8,61
9,63
10,61
11,71
12,80
13,77
14,82
15,74
16,81
17,84
18,89
19,91
20,90
21,85
22,93
23,92
24,95
25,92
26,91
27,94
28,93
29,100
30,96
31,99
32,100
33,102
34,106
35,109
36,108
37,104
38,108
39,107
40,109
41,115
42,126
43,112
44,123
45,121
46,134
47,123
48,127
49,134
50,133
51,151
52,153
53,156
54,154
55,166
56,158
57,165
58,171
59,177
60,180
61,182
62,189
63,206
64,203
65,204
66,185
67,189
68,209
69,219
70,238
71,247
72,243
73,246
74,255
75,256
76,254
77,279
78,269
79,293
80,292
81,284
82,285
83,290
84,310
85,323
86,307
87,315
88,342
89,376
90,376
91,373
92,392
93,395
94,401
95,416
96,428
97,427
98,430
99,424
100,490
101,453
102,433
103,423
104,483
105,491
106,474
107,515
108,559
109,514
110,552
111,548
112,533
