ImageNumber,ObjectNumber,Children_IdentifySecondaryObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Watershed
1,1,1,250.2257217847769,195.20341207349082,0,1,1
1,2,1,261.95201535508636,234.03262955854126,0,2,2
1,3,1,246.08270676691728,226.7669172932331,0,3,3
1,4,1,229.79651162790697,244.63081395348837,0,4,4
1,5,1,242.46468401486987,262.4460966542751,0,5,5
1,6,1,225.38888888888889,262.44444444444446,0,6,6
1,7,1,252.55504587155963,288.13761467889907,0,7,7
1,8,1,229.37692307692308,287.5230769230769,0,8,8
2,1,1,259.60483870967744,187.94354838709677,0,1,1
2,2,1,244.31007751937983,193.74031007751938,0,2,2
2,3,1,260.77470355731225,210.57312252964428,0,3,3
2,4,1,245.8479381443299,225.3737113402062,0,4,4
2,5,1,263.2867647058824,244.0514705882353,0,5,5
2,6,1,231.38520408163265,257.53826530612247,0,6,6
2,7,1,247.66666666666666,248.33333333333334,0,7,7
2,8,1,263.75652173913045,264.1391304347826,0,8,8
2,9,1,244.1795665634675,278.8482972136223,0,9,9
2,10,1,255.26808510638298,300.3276595744681,0,10,10
2,11,1,229.1953488372093,301.8488372093023,0,11,11
3,1,1,253.98546895640686,188.0118890356671,0,1,1
3,2,1,264.49407114624506,208.74703557312253,0,2,2
3,3,1,250.85925925925926,229.6074074074074,0,3,3
3,4,1,267.85273159144896,248.729216152019,0,4,4
3,5,1,234.71527777777777,251.90046296296296,0,5,5
3,6,1,247.6246418338109,280.1661891117478,0,6,6
3,7,1,248.31376518218624,302.16902834008096,0,7,7
4,1,1,251.82102272727272,177.00852272727272,0,1,1
4,2,1,245.3037037037037,196.45925925925926,0,2,2
4,3,1,263.8215767634855,210.7219917012448,0,3,3
4,4,1,250.4858044164038,225.6813880126183,0,4,4
4,5,1,231.1761006289308,245.56394129979034,0,5,5
4,6,1,266.4260485651214,252.32008830022076,0,6,6
4,7,1,244.83116883116884,278.8857142857143,0,7,7
4,8,1,263.0656028368794,298.2695035460993,0,8,8
4,9,1,230.87128712871288,301.03762376237626,0,9,9
5,1,1,248.82222222222222,181.3246913580247,0,1,1
5,2,1,259.1363636363636,199.63636363636363,0,2,2
5,3,1,260.86842105263156,219.68421052631578,0,3,3
5,4,1,222.9179104477612,238.10261194029852,0,4,4
5,5,1,247.4043321299639,235.8880866425993,0,5,5
5,6,1,267.77189409368634,255.62321792260693,0,6,6
5,7,1,239.82561307901906,276.5286103542234,0,7,7
5,8,1,262.4397993311037,299.66889632107024,0,8,8
5,9,1,229.0587084148728,299.88062622309195,0,9,9
6,1,1,250.57088607594937,182.04177215189873,0,1,1
6,2,1,258.2040816326531,199.07142857142858,0,2,2
6,3,1,219.78313253012047,234.02925989672977,0,3,3
6,4,1,259.4261363636364,227.58522727272728,0,4,4
6,5,1,246.7,240.93157894736842,0,5,5
6,6,1,279.6703296703297,242.4065934065934,0,6,6
6,7,1,234.31034482758622,253.8505747126437,0,7,7
6,8,1,251.93333333333334,268.2,0,8,8
6,9,1,268.82764227642275,298.87642276422764,0,9,9
6,10,1,261.5833333333333,280.87820512820514,0,10,10
6,11,1,229.22988505747125,298.26245210727967,0,11,11
6,12,1,238.2,269.8,0,12,12
6,13,1,244.75138121546962,297.3370165745856,0,13,13
7,1,1,247.7472118959108,170.65799256505576,0,1,1
7,2,1,262.56140350877195,181.609649122807,0,2,2
7,3,1,247.10502283105023,200.58904109589042,0,3,3
7,4,1,230.44578313253012,203.5261044176707,0,4,4
7,5,1,263.39230769230767,202.07692307692307,0,5,5
7,6,1,262.5,222.5,0,6,6
7,7,1,263.9756097560976,228.58536585365854,0,7,7
7,8,1,213.4022988505747,244.1235632183908,0,8,8
7,9,1,240.83809523809524,235.95238095238096,0,9,9
7,10,1,279.1919642857143,240.65625,0,10,10
7,11,1,263.61538461538464,239.80769230769232,0,11,11
7,12,1,231.0,249.25,0,12,12
7,13,1,293.13928571428573,263.8142857142857,0,13,13
7,14,1,247.0,252.05405405405406,0,14,14
7,15,1,233.78571428571428,261.85714285714283,0,15,15
7,16,1,264.5,257.0,0,16,16
7,17,1,231.0,259.0,0,17,17
7,18,1,228.98317757009346,294.992523364486,0,18,18
7,19,1,252.0,265.0,0,19,19
7,20,1,236.0,266.5,0,20,20
7,21,1,250.0,266.0,0,21,21
7,22,1,236.0,269.0,0,22,22
7,23,1,252.33333333333334,270.3333333333333,0,23,23
7,24,1,268.805,285.875,0,24,24
7,25,1,237.5,272.0,0,25,25
7,26,1,254.0,272.0,0,26,26
7,27,1,253.5,274.0,0,27,27
7,28,1,254.0,276.5,0,28,28
7,29,1,255.5,279.0,0,29,29
7,30,1,257.0,281.0,0,30,30
7,31,1,275.3202416918429,304.4712990936556,0,31,31
7,32,1,248.8771186440678,309.3728813559322,0,32,32
8,1,1,300.0531914893617,230.5709219858156,0,1,1
8,2,1,316.59163987138265,238.475884244373,0,2,2
8,3,1,282.08304498269894,246.1833910034602,0,3,3
8,4,1,298.52941176470586,262.2352941176471,0,4,4
8,5,1,316.719298245614,262.280701754386,0,5,5
8,6,1,301.0,269.0,0,6,6
8,7,1,263.64921465968587,292.9528795811518,0,7,7
8,8,1,303.0,273.5,0,8,8
8,9,1,289.15625,281.0,0,9,9
8,10,1,337.815,286.42,0,10,10
8,11,1,304.0,277.5,0,11,11
8,12,1,323.0,282.0,0,12,12
8,13,1,321.0,283.0,0,13,13
8,14,1,293.0,285.0,0,14,14
8,15,1,323.75,286.0,0,15,15
8,16,1,321.42857142857144,299.54285714285714,0,16,16
8,17,1,280.09090909090907,295.90909090909093,0,17,17
8,18,1,352.04,300.11,0,18,18
8,19,1,296.6666666666667,297.3333333333333,0,19,19
8,20,1,279.0,299.0,0,20,20
8,21,1,336.8666666666667,302.3333333333333,0,21,21
8,22,1,298.5,301.0,0,22,22
8,23,1,282.0,302.0,0,23,23
8,24,1,299.5,303.5,0,24,24
8,25,1,336.8888888888889,307.0,0,25,25
8,26,1,300.5,307.5,0,26,26
8,27,1,321.3333333333333,308.0,0,27,27
8,28,1,351.10309278350513,319.25773195876286,0,28,28
8,29,1,283.1945945945946,350.1189189189189,0,29,29
8,30,1,287.0,311.0,0,30,30
8,31,1,335.0,312.0,0,31,31
8,32,1,285.0,313.0,0,32,32
8,33,1,287.5,314.5,0,33,33
8,34,1,320.0,316.0,0,34,34
8,35,1,288.5,317.5,0,35,35
8,36,1,320.0,319.0,0,36,36
8,37,1,322.0,319.0,0,37,37
8,38,1,290.0,320.0,0,38,38
8,39,1,305.5,323.0,0,39,39
8,40,1,326.0670103092784,341.2525773195876,0,40,40
8,41,1,291.0,326.0,0,41,41
8,42,1,308.0,326.0,0,42,42
8,43,1,331.92024539877303,358.5368098159509,0,43,43
8,44,1,300.92857142857144,347.0,0,44,44
8,45,1,303.14953271028037,362.97196261682245,0,45,45
8,46,1,305.25274725274727,377.65934065934067,0,46,46
9,1,1,226.375,176.9191176470588,0,1,1
9,2,1,242.87459807073955,184.32154340836013,0,2,2
9,3,1,206.96,190.15,0,3,3
9,4,1,242.0,210.02,0,4,4
9,5,1,223.0,213.0,0,5,5
