ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifySecondaryObjects
1,1,250.2267365661861,195.1913499344692,0,1,1
1,2,261.95201535508636,234.03262955854126,0,2,2
1,3,246.08270676691728,226.7669172932331,0,3,3
1,4,229.79651162790697,244.63081395348837,0,4,4
1,5,242.46468401486987,262.4460966542751,0,5,5
1,6,252.55504587155963,288.13761467889907,0,6,7
1,7,229.37692307692308,287.5230769230769,0,7,8
2,1,259.60483870967744,187.94354838709677,0,1,1
2,2,244.31007751937983,193.74031007751938,0,2,2
2,3,260.77470355731225,210.57312252964428,0,3,3
2,4,245.8479381443299,225.3737113402062,0,4,4
2,5,263.2867647058824,244.0514705882353,0,5,5
2,6,231.38520408163265,257.53826530612247,0,6,6
2,7,263.75652173913045,264.1391304347826,0,7,8
2,8,244.1795665634675,278.8482972136223,0,8,9
2,9,255.26808510638298,300.3276595744681,0,9,10
2,10,229.1953488372093,301.8488372093023,0,10,11
3,1,253.98947368421054,187.98684210526315,0,1,1
3,2,264.49407114624506,208.74703557312253,0,2,2
3,3,250.8671586715867,229.6678966789668,0,3,3
3,4,267.85273159144896,248.729216152019,0,4,4
3,5,234.71527777777777,251.90046296296296,0,5,5
3,6,247.6246418338109,280.1661891117478,0,6,6
3,7,248.31041456016177,302.1860465116279,0,7,7
4,1,251.82152974504248,176.9872521246459,0,1,1
4,2,245.3037037037037,196.45925925925926,0,2,2
4,3,263.8215767634855,210.7219917012448,0,3,3
4,4,250.4858044164038,225.6813880126183,0,4,4
4,5,231.1761006289308,245.56394129979034,0,5,5
4,6,266.4260485651214,252.32008830022076,0,6,6
4,7,244.83116883116884,278.8857142857143,0,7,7
4,8,263.0656028368794,298.2695035460993,0,8,8
4,9,230.87128712871288,301.03762376237626,0,9,9
5,1,248.8249075215783,181.31565967940813,0,1,1
5,2,259.1363636363636,199.63636363636363,0,2,2
5,3,260.86842105263156,219.68421052631578,0,3,3
5,4,222.9179104477612,238.10261194029852,0,4,4
5,5,247.37992831541217,235.83512544802866,0,5,5
5,6,267.77189409368634,255.62321792260693,0,6,6
5,7,239.82561307901906,276.5286103542234,0,7,7
5,8,262.4397993311037,299.66889632107024,0,8,8
5,9,229.076171875,299.92578125,0,9,9
6,1,250.56565656565655,182.07449494949495,0,1,1
6,2,258.2040816326531,199.07142857142858,0,2,2
6,3,219.78313253012047,234.02925989672977,0,3,3
6,4,259.44943820224717,227.57865168539325,0,4,4
6,5,246.67708333333334,240.79166666666666,0,5,5
6,6,279.6703296703297,242.4065934065934,0,6,6
6,7,234.27777777777777,253.67777777777778,0,7,7
6,8,268.82764227642275,298.87642276422764,0,8,9
6,9,261.61146496815286,280.8471337579618,0,9,10
6,10,229.23135755258127,298.2428298279159,0,10,11
6,11,244.71584699453553,297.2021857923497,0,11,13
7,1,247.7472118959108,170.65799256505576,0,1,1
7,2,262.56140350877195,181.609649122807,0,2,2
7,3,247.12612612612614,200.74324324324326,0,3,3
7,4,230.44578313253012,203.5261044176707,0,4,4
7,5,263.39230769230767,202.07692307692307,0,5,5
7,6,263.9767441860465,228.53488372093022,0,6,7
7,7,213.4022988505747,244.1235632183908,0,7,8
7,8,240.88785046728972,235.98130841121494,0,8,9
7,9,279.1929824561403,240.94298245614036,0,9,10
7,10,231.0,249.28571428571428,0,10,12
7,11,293.13928571428573,263.8142857142857,0,11,13
7,12,233.78571428571428,261.85714285714283,0,12,15
7,13,228.98317757009346,294.992523364486,0,13,18
7,14,268.8457711442786,285.81094527363183,0,14,24
7,15,275.3202416918429,304.4712990936556,0,15,31
7,16,248.8649789029536,309.3122362869198,0,16,32
8,1,300.0531914893617,230.5709219858156,0,1,1
8,2,316.59163987138265,238.475884244373,0,2,2
8,3,282.08304498269894,246.1833910034602,0,3,3
8,4,316.7457627118644,262.3728813559322,0,4,5
8,5,263.64921465968587,292.9528795811518,0,5,7
8,6,289.15625,281.0,0,6,9
8,7,337.815,286.42,0,7,10
8,8,321.4166666666667,299.47222222222223,0,8,16
8,9,352.04,300.11,0,9,18
8,10,351.10309278350513,319.25773195876286,0,10,28
8,11,283.1945945945946,350.1189189189189,0,11,29
8,12,326.02010050251255,341.3316582914573,0,12,40
8,13,331.92024539877303,358.5368098159509,0,13,43
8,14,303.14953271028037,362.97196261682245,0,14,45
8,15,305.2173913043478,377.6304347826087,0,15,46
9,1,226.35507246376812,177.16666666666666,0,1,1
9,2,242.87459807073955,184.32154340836013,0,2,2
9,3,206.96,190.15,0,3,3
9,4,242.0,210.02,0,4,4
9,5,186.47448979591837,238.75510204081633,0,5,8
9,6,264.3636363636364,233.14462809917356,0,6,10
9,7,278.94498381877025,258.0194174757282,0,7,21
9,8,199.1400778210117,271.08949416342415,0,8,30
9,9,253.02727272727273,289.0772727272727,0,9,41
9,10,258.9341317365269,305.8502994011976,0,10,45
9,11,214.6317280453258,317.08781869688386,0,11,47
9,12,230.20574162679426,319.6363636363636,0,12,48
10,1,261.0115606936416,172.59537572254337,0,1,1
10,2,245.40772532188842,180.66523605150215,0,2,2
10,3,227.87878787878788,189.9158249158249,0,3,3
10,4,264.55555555555554,188.82407407407408,0,4,4
10,5,265.7391304347826,203.90217391304347,0,5,5
10,6,282.24347826086955,224.2173913043478,0,6,6
10,7,207.2167487684729,240.935960591133,0,7,8
10,8,283.5869565217391,240.06521739130434,0,8,16
10,9,299.6525974025974,259.538961038961,0,9,21
10,10,216.65342960288808,276.8050541516246,0,10,26
10,11,274.64824120603015,293.4170854271357,0,11,40
10,12,280.6051136363636,310.61647727272725,0,12,45
10,13,234.38328530259366,323.6541786743516,0,13,46
10,14,250.78082191780823,332.2146118721461,0,14,50
11,1,256.0208333333333,172.50694444444446,0,1,1
11,2,240.36702127659575,172.8244680851064,0,2,2
11,3,223.92672413793105,176.61206896551724,0,3,3
11,4,223.19402985074626,196.1044776119403,0,4,4
11,5,277.719298245614,213.2017543859649,0,5,11
11,6,200.95529411764707,235.8329411764706,0,6,13
11,7,293.7457627118644,236.6864406779661,0,7,21
11,8,278.27027027027026,238.1891891891892,0,8,24
11,9,295.8453608247423,259.3556701030928,0,9,28
11,10,208.13793103448276,275.0896551724138,0,10,31
11,11,275.6776859504132,282.74380165289256,0,11,36
11,12,287.1445086705202,293.34104046242777,0,12,46
11,13,260.2463768115942,306.1304347826087,0,13,47
11,14,228.36363636363637,324.97727272727275,0,14,48
11,15,267.77464788732397,320.5774647887324,0,15,50
11,16,247.62926829268292,338.7512195121951,0,16,54
12,1,252.2240663900415,160.26141078838174,0,1,1
12,2,237.54819277108433,164.4879518072289,0,2,2
12,3,222.8763440860215,167.13440860215053,0,3,3
12,4,228.51282051282053,184.12820512820514,0,4,4
12,5,280.14814814814815,206.03086419753086,0,5,6
12,6,202.72844827586206,229.54956896551724,0,6,10
12,7,296.7113702623907,249.84839650145773,0,7,13
12,8,279.94117647058823,242.19607843137254,0,8,20
12,9,207.2360248447205,275.4130434782609,0,9,23
12,10,278.39285714285717,279.9404761904762,0,10,30
12,11,288.02272727272725,296.28977272727275,0,11,36
12,12,230.22222222222223,329.550135501355,0,12,45
12,13,262.9,313.6875,0,13,46
12,14,270.2826086956522,332.33152173913044,0,14,52
12,15,251.7958115183246,346.70680628272254,0,15,55
13,1,250.67578125,154.90234375,0,1,1
13,2,231.0185185185185,151.59259259259258,0,2,2
13,3,221.06829268292682,163.29268292682926,0,3,3
13,4,266.1388888888889,184.77777777777777,0,4,10
13,5,285.1703296703297,198.52197802197801,0,5,15
13,6,214.6144578313253,202.25301204819277,0,6,16
13,7,298.35,233.15,0,7,21
13,8,198.95294117647057,238.04313725490195,0,8,25
13,9,280.4022988505747,239.17241379310346,0,9,30
13,10,205.20224719101122,274.30337078651684,0,10,33
13,11,297.40983606557376,259.7103825136612,0,11,34
13,12,279.6818181818182,278.9886363636364,0,12,40
13,13,260.6923076923077,276.96153846153845,0,13,43
13,14,290.9438202247191,299.2696629213483,0,14,44
13,15,221.47692307692307,306.9384615384615,0,15,45
13,16,268.618320610687,321.77862595419845,0,16,46
13,17,277.10460251046027,337.36401673640165,0,17,47
13,18,235.63470319634703,337.3972602739726,0,18,48
13,19,253.19760479041915,342.7065868263473,0,19,49
14,1,221.76,145.23555555555555,0,1,1
14,2,247.81770833333334,150.58333333333334,0,2,2
14,3,208.95473251028807,153.09465020576133,0,3,3
14,4,262.5274725274725,164.95604395604394,0,4,5
14,5,274.30232558139534,182.06976744186048,0,5,13
14,6,288.49302325581397,192.07441860465116,0,6,14
14,7,213.91411042944785,199.95092024539878,0,7,15
14,8,295.4323432343234,243.4851485148515,0,8,21
14,9,200.33877551020407,239.89795918367346,0,9,23
14,10,281.47058823529414,235.36764705882354,0,10,24
14,11,211.13333333333333,254.26666666666668,0,11,28
14,12,204.58156028368793,283.1737588652482,0,12,31
14,13,276.2068965517241,281.2758620689655,0,13,38
14,14,295.65727699530515,302.5023474178404,0,14,39
14,15,221.79674796747966,305.3252032520325,0,15,42
14,16,271.05442176870747,323.68027210884355,0,16,43
14,17,277.6523605150215,338.6394849785408,0,17,45
14,18,234.5766129032258,342.18145161290323,0,18,46
14,19,252.875,349.46527777777777,0,19,49
15,1,212.17991631799163,145.07112970711296,0,1,1
15,2,249.5439189189189,151.0033783783784,0,2,2
15,3,195.7159090909091,151.01136363636363,0,3,3
15,4,276.046875,177.4375,0,4,12
15,5,289.017094017094,188.74786324786325,0,5,14
15,6,212.7405063291139,202.31012658227849,0,6,16
15,7,298.06535947712416,231.33986928104576,0,7,21
15,8,199.34701492537314,245.38805970149255,0,8,26
15,9,281.3269230769231,241.42307692307693,0,9,27
15,10,293.49645390070924,262.2482269503546,0,10,28
15,11,209.6451612903226,257.741935483871,0,11,30
15,12,202.80232558139534,293.8178294573643,0,12,33
15,13,275.82758620689657,285.9310344827586,0,13,35
15,14,294.5,308.67676767676767,0,14,36
15,15,220.11320754716982,307.64150943396226,0,15,44
15,16,269.6271186440678,337.1186440677966,0,16,49
15,17,231.98790322580646,345.6975806451613,0,17,50
15,18,278.48659003831415,350.27203065134097,0,18,52
15,19,248.88429752066116,351.2809917355372,0,19,53
16,1,207.69182389937106,141.8427672955975,0,1,1
16,2,235.8310810810811,146.25675675675674,0,2,2
16,3,199.26160337552741,154.2194092827004,0,3,3
16,4,218.21428571428572,154.82142857142858,0,4,4
16,5,264.6849315068493,158.7945205479452,0,5,6
16,6,281.2020202020202,177.66666666666666,0,6,10
16,7,292.9727626459144,190.5486381322957,0,7,11
16,8,212.15827338129498,209.41007194244605,0,8,15
16,9,302.52941176470586,231.84558823529412,0,9,19
16,10,287.0483870967742,235.93548387096774,0,10,21
16,11,197.34703196347033,254.03196347031962,0,11,23
16,12,300.77245508982037,265.2694610778443,0,12,25
16,13,200.8048780487805,286.7723577235772,0,13,35
16,14,281.15,298.6,0,14,40
16,15,300.8351063829787,316.1276595744681,0,15,42
16,16,224.51136363636363,312.97727272727275,0,16,45
16,17,286.3333333333333,334.4761904761905,0,17,47
16,18,234.9040590405904,353.4649446494465,0,18,48
16,19,272.93333333333334,354.51428571428573,0,19,51
16,20,287.4765342960289,358.96389891696754,0,20,52
16,21,250.98461538461538,361.16153846153844,0,21,54
