time step,CellProfiler,FAST,SuperSegger,DeLTA,Oufti
1.0,0.9429,0.5397,0.5607,0.4636,0.4951
2.0,0.8745,0.7694,0.69,0.847,0.4655
3.0,0.9442,0.7477,0.6574,0.7765,0.4533
4.0,0.9603,0.763,0.6809,0.7727,0.4528
5.0,0.9217,0.7492,0.6579,0.7721,0.4597
6.0,0.9538,0.7074,0.7804,0.72,0.4235
7.0,0.9565,0.6997,0.6361,0.726,0.4244
8.0,0.9658,0.7322,0.6217,0.5588,0.3955
9.0,0.9404,0.5944,0.583,0.5184,0.4062
10.0,0.949,0.6832,0.5487,0.4936,0.4216
11.0,0.952,0.6498,0.5327,0.4843,0.4122
12.0,0.928,0.7045,0.5876,0.6704,0.345
13.0,0.919,0.7048,0.616,0.6903,0.3461
14.0,0.9295,0.7424,0.6967,0.6735,0.2601
15.0,0.9195,0.7377,0.5831,0.6034,0.2486
16.0,0.922,0.6879,0.6198,0.5445,0.1765
17.0,0.9585,0.6813,0.6159,0.5423,0.1869
18.0,0.9572,0.6878,0.7116,0.6604,0.1665
19.0,0.9539,0.6961,0.7181,0.656,0.1635
20.0,0.8279,0.6652,0.6613,0.6567,0.1789
21.0,0.9447,0.6347,0.7043,0.6803,0.1769
22.0,0.9228,0.6411,0.6879,0.6647,0.1488
23.0,0.9397,0.6981,0.6661,0.6849,0.1356
24.0,0.9443,0.6332,0.6573,0.6352,0.0828
25.0,0.9138,0.7285,0.6493,0.6316,0.0255
26.0,0.8759,0.6404,0.6473,0.5643,0.0
27.0,0.9161,0.6964,0.6863,0.6009,0.0
28.0,0.9212,0.6145,0.6924,0.6763,0.0
29.0,0.8348,0.5881,0.627,0.6445,0.0
30.0,0.9353,0.5382,0.6266,0.5784,0.0
31.0,0.8187,0.5468,0.6549,0.6183,0.0
32.0,0.9066,0.6342,0.6728,0.6991,0.0
33.0,0.9183,0.6638,0.6497,0.6459,0.0
34.0,0.8881,0.652,0.6088,0.5782,0.0
35.0,0.8763,0.612,0.5858,0.577,0.0
