Time Step,Gold Standard,CellProfiler,DeLTA,FAST,Oufti,SuperSegger
1,1,1,2,2,1,2
2,2,2,2,2,2,2
3,2,2,2,2,2,2
4,2,2,2,2,2,2
5,2,2,2,2,2,2
6,2,2,2,2,2,2
7,2,2,2,2,2,3
8,2,2,4,2,2,4
9,2,2,4,4,2,4
10,2,2,4,2,2,4
11,2,2,4,2,2,4
12,4,4,4,4,2,4
13,4,4,4,4,3,4
14,4,4,4,4,4,6
15,4,4,6,4,2,7
16,4,4,7,4,1,7
17,4,4,7,4,1,7
18,6,6,7,6,1,7
19,6,6,7,6,1,7
20,7,8,8,8,2,8
21,8,8,8,8,2,8
22,8,8,11,7,2,12
23,10,10,13,10,3,13
24,10,10,13,10,1,15
25,10,10,13,10,1,15
26,13,14,13,13,0,15
27,14,14,14,14,0,17
28,15,15,14,13,0,15
29,15,16,13,15,0,18
30,16,16,20,14,0,25
31,17,17,20,14,0,23
32,20,19,22,18,0,26
33,23,23,25,22,0,29
34,23,22,31,21,0,36
35,25,24,31,22,0,37
