time step,CellProfiler,FAST,SuperSegger,DeLTA,Oufti
1.0,0.8935,0.7879,0.9297,0.8236,0.6169
2.0,0.8793,0.7944,0.8975,0.7943,0.6226
3.0,0.903,0.8113,0.9006,0.8124,0.6229
4.0,0.8934,0.8105,0.8868,0.8365,0.5816
5.0,0.8894,0.8117,0.8699,0.793,0.5691
6.0,0.9082,0.8307,0.8266,0.8537,0.5394
7.0,0.9245,0.8123,0.8047,0.8174,0.5603
8.0,0.7901,0.7354,0.7717,0.8174,0.5507
9.0,0.7767,0.7204,0.7277,0.8181,0.535
10.0,0.9211,0.6864,0.7008,0.8272,0.502
11.0,0.799,0.664,0.6755,0.8076,0.5057
12.0,0.9365,0.6159,0.5869,0.7841,0.5344
13.0,0.929,0.7214,0.7705,0.7724,0.5248
14.0,0.9489,0.6399,0.6837,0.7718,0.5375
15.0,0.9434,0.6583,0.6113,0.7053,0.5503
16.0,0.9632,0.6082,0.756,0.7863,0.5133
17.0,0.8955,0.7367,0.7842,0.76,0.4696
18.0,0.8954,0.7959,0.7837,0.7894,0.4857
19.0,0.9197,0.7823,0.7957,0.7743,0.4547
20.0,0.8512,0.7166,0.7936,0.7605,0.4285
21.0,0.879,0.6752,0.7104,0.7625,0.4125
22.0,0.864,0.6695,0.7064,0.6748,0.4023
23.0,0.8306,0.7209,0.7534,0.6951,0.3836
24.0,0.829,0.7255,0.7169,0.6923,0.3713
25.0,0.8637,0.6928,0.7485,0.7207,0.3399
26.0,0.9078,0.7036,0.7339,0.7363,0.3898
27.0,0.9198,0.7173,0.7461,0.6742,0.3992
28.0,0.8769,0.6641,0.6618,0.7166,0.3477
29.0,0.8787,0.6637,0.6553,0.6911,0.2764
30.0,0.8649,0.6484,0.6372,0.658,0.2728
31.0,0.8734,0.6865,0.6921,0.686,0.2984
