CellId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,44.6033935546875,37.46798682212831,0.351,8.0,-0.078
2.0,53.2991142272949,33.57299757003783,1.066,4.0,-0.177
3.0,44.7047119140625,31.619853138923638,-0.389,16.0,-0.024
4.0,86.895866394043,72.08065128326417,-1.047,4.0,-0.135
5.0,51.5970230102539,46.4534594217936,-3.164,3.0,-0.063
6.0,54.308765411377,44.27043374379477,-2.015,6.0,-0.126
7.0,44.791446685791,42.968568801879876,0.167,4.0,-0.04
8.0,6.41736793518066,6.41736793518066,0.0,1.0,0.0
9.0,46.0294876098633,41.0061950683594,2.146,3.0,-0.068
10.0,25.3037109375,20.126515070597332,1.381,3.0,-0.17
11.0,29.0551795959473,27.171334584554064,-1.223,3.0,-0.134
12.0,23.8569869995117,23.8569869995117,0.0,1.0,0.0
13.0,26.8395748138428,29.643210728963236,0.671,3.0,0.023
15.0,32.4526214599609,22.597860972086597,-1.278,3.0,-0.213
16.0,14.0516443252563,14.0516443252563,0.0,1.0,0.0
